variable,role,eq_model,eq_paper,paper_role,paper_name,paper_unit,paper_source,paper_source_full,model_unit,status,source_used,raw_file,transform,unit_conversion,missing_handling,constant_value,first_valid,last_valid,n_missing_window,n_missing_solve_period,issue
INPV,内生,17,17,内生,民間企業在庫品増加(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
CGV,内生,18,18,内生,政府最終消費支出(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
IGV,内生,19,19,内生,公的固定資本形成(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
INGV,内生,20,20,内生,公的在庫品増加(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
BFV,内生,21,21,内生,財貨・サービスの純輸出(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
XGSV,内生,22,22,内生,財貨・サービスの輸出(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
MGSV,内生,23,23,内生,財貨・サービスの輸入(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
RTRIV,内生,143,143,内生,海外からの要素所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
PTRIV,内生,144,144,内生,海外への要素所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
PGDP,内生,71,71,内生,GDPデフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,論文どおり,ESRI 四半期GDP速報 デフレーター（季調系列）,"data/raw/def-qk2522.csv, gaku-mk2522.csv, gaku-jk2522.csv",sna.py が def-qk を読むが、build_data.py で名目÷実質に置き換える（公表値と一致、丸め誤差を避ける）,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
PCP,内生,73,73,内生,民間最終消費支出デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,論文どおり,ESRI 四半期GDP速報 デフレーター（季調系列）,"data/raw/def-qk2522.csv, gaku-mk2522.csv, gaku-jk2522.csv",sna.py が def-qk を読むが、build_data.py で名目÷実質に置き換える（公表値と一致、丸め誤差を避ける）,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
PIHP,内生,76,76,内生,民間住宅投資デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,論文どおり,ESRI 四半期GDP速報 デフレーター（季調系列）,"data/raw/def-qk2522.csv, gaku-mk2522.csv, gaku-jk2522.csv",sna.py が def-qk を読むが、build_data.py で名目÷実質に置き換える（公表値と一致、丸め誤差を避ける）,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
PIFP,内生,75,75,内生,民間企業設備投資デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,論文どおり,ESRI 四半期GDP速報 デフレーター（季調系列）,"data/raw/def-qk2522.csv, gaku-mk2522.csv, gaku-jk2522.csv",sna.py が def-qk を読むが、build_data.py で名目÷実質に置き換える（公表値と一致、丸め誤差を避ける）,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
PCG,内生,78,78,内生,政府最終消費支出デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,論文どおり,ESRI 四半期GDP速報 デフレーター（季調系列）,"data/raw/def-qk2522.csv, gaku-mk2522.csv, gaku-jk2522.csv",sna.py が def-qk を読むが、build_data.py で名目÷実質に置き換える（公表値と一致、丸め誤差を避ける）,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
PIG,内生,79,79,内生,公的固定資本形成デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,論文どおり,ESRI 四半期GDP速報 デフレーター（季調系列）,"data/raw/def-qk2522.csv, gaku-mk2522.csv, gaku-jk2522.csv",sna.py が def-qk を読むが、build_data.py で名目÷実質に置き換える（公表値と一致、丸め誤差を避ける）,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
PXGS,内生,65,65,内生,財貨・サービス輸出デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,論文どおり,ESRI 四半期GDP速報 デフレーター（季調系列）,"data/raw/def-qk2522.csv, gaku-mk2522.csv, gaku-jk2522.csv",sna.py が def-qk を読むが、build_data.py で名目÷実質に置き換える（公表値と一致、丸め誤差を避ける）,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
PMGS,内生,80,80,内生,財貨・サービスの輸入デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,論文どおり,ESRI 四半期GDP速報 デフレーター（季調系列）,"data/raw/def-qk2522.csv, gaku-mk2522.csv, gaku-jk2522.csv",sna.py が def-qk を読むが、build_data.py で名目÷実質に置き換える（公表値と一致、丸め誤差を避ける）,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
YWV,内生,89,89,内生,雇用者報酬,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 四半期GDP速報 雇用者報酬 名目 季節調整系列（kshotoku 表）,data/raw/kshotoku-q2522.csv,公式季調値をそのまま使用（自前の移動平均比率法との差 0.15%）,10億円・年率,公表のない四半期は年次推計の原系列を自前で季調,,2010Q1,2021Q4,0,0,
YWIV,内生,94,94,内生,賃金・俸給総額,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
YOLIV,内生,86,86,内生,社会保障雇主負担,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
YIGV,内生,138,138,内生,一般政府財産所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
YIEV,内生,104,104,内生,家計財産所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,定義の解釈,ESRI 2022年度年次推計 家計 財産所得（純、受取）− うち賃貸料,data/raw/2022qom2_jp.xlsx,賃貸料を除いた金融的財産所得（利子・配当・その他）。論文乗数表から逆算した法人企業所得の水準と式104の定式化から特定,10億円×4 → 年率,なし,,2010Q1,2021Q4,0,0,
YICV,内生,91,91,内生,個人企業所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
NIV,内生,83,83,内生,要素価格表示国民所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,定義式,YWV + YIV + YICV + YCV（式83。年次推計の国民所得を直接季調すると法人企業所得に季節性が残るため定義式で作る）,,,10億円・年率,なし,,2010Q1,2021Q4,0,0,
ENTV,補助（未使用）,,,論文にない,,,,,10億円・季調年率,中間系列（モデル未使用）,ESRI 2022年度年次推計 企業所得、家計財産所得のうち賃貸料,data/raw/2022qom2_jp.xlsx,YCV・YIEV の作成に使用。model.py からは参照されない,10億円×4 → 年率,なし,,2010Q1,2021Q4,0,0,
RENTHH,補助（未使用）,,,論文にない,,,,,10億円・季調年率,中間系列（モデル未使用）,ESRI 2022年度年次推計 企業所得、家計財産所得のうち賃貸料,data/raw/2022qom2_jp.xlsx,YCV・YIEV の作成に使用。model.py からは参照されない,10億円×4 → 年率,なし,,2010Q1,2021Q4,0,0,
CCAVG,内生,139,139,内生,固定資本減耗（一般政府分）,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
TCIV,内生,134,134,内生,消費税,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
TCSTV,内生,135,135,内生,関税,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
SUBV,外生,,,外生,補助金,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
CSSV,内生,137,137,内生,社会保障負担,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
TYPV,内生,130,130,内生,個人所得税(所得・富等に課される経常税(家計分)),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
YDV,内生,90,90,内生,個人可処分所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
BSSV,内生,140,140,内生,社会保障給付,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 国民所得の分配（qom2）・一般政府 所得支出勘定（i4）・家計 所得支出勘定（i5）の四半期原系列,"data/raw/2022qom2_jp.xlsx, 2022i4_jp.xlsx, 2022i5_jp.xlsx",移動平均比率法（2×4中心化移動平均、季節因子は5年移動平均）で季調。YIGV・SUBV は加法型、YICV は加法型,10億円（四半期原系列）×4 → 年率,なし（論文と同じ版は 2021Q4 まで）,,2010Q1,2021Q4,0,0,
TYCV,内生,131,131,内生,法人所得税(所得・富等に課される経常税(企業分)),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 一般政府 所得・富等に課される経常税（受取）− 家計 同（支払）,"data/raw/2022i4_jp.xlsx, 2022i5_jp.xlsx",差をとってから移動平均比率法で季調,10億円×4 → 年率,なし,,2010Q1,2021Q4,0,0,#3（ESRI の季調との四半期パターン差）
OITAXV,内生,136,136,内生,その他間接税,10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,同種統計・加工差,ESRI 2022年度年次推計 一般政府 生産・輸入品に課される税 − 付加価値型税 − 輸入関税,data/raw/2022i4_jp.xlsx,差をとってから移動平均比率法で季調,10億円×4 → 年率,なし,,2010Q1,2021Q4,0,0,
ITAXV,内生,133,133,内生,間接税(生産・輸入品に課される税),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,定義式,TCIV + TCSTV + OITAXV（式133）,,,10億円・年率,なし,,2010Q1,2021Q4,0,0,
CCAV,内生,87,87,内生,固定資本減耗,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,同種統計・加工差,GDPV − ITAXV + SUBV + 海外からの純所得（NFIV）− 国民所得（NIV、年次推計の四半期原系列を季調）の残差,"data/raw/gaku-mk2522.csv, 2022qom2_jp.xlsx",暦年平均を保ちながら年央値を3次スプラインで補間（季調残差が法人企業所得に乗らないようにする）,10億円・年率,なし,,2010Q1,2021Q4,0,0,
TAXV,内生,128,128,内生,租税総額,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,定義式,TYPV + TYCV + ITAXV（式128）,,,10億円・年率,なし,,2010Q1,2021Q4,0,0,
YIV,内生,105,105,内生,財産所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,定義式,YIEV + YIGV（式105）,,,10億円・年率,なし,,2010Q1,2021Q4,0,0,
YCV,内生,84,84,内生,法人企業所得,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,定義の解釈,ESRI 2022年度年次推計 企業所得（法人＋公的企業＋個人企業）− 個人企業所得 + 家計賃貸料 + 対家計民間非営利団体財産所得,data/raw/2022qom2_jp.xlsx,各項を加法型で季調して合成。論文乗数表から逆算した ESRI の四半期経路と相関0.96・水準比0.998,10億円×4 → 年率,なし,,2010Q1,2021Q4,0,0,#3（季調パターン差）
SDV,外生,,,外生,統計上の不突合,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,残差,GDPV − CCAV − ITAXV + SUBV + NFIV − NIV（式83・84を閉じる残差）,,CCAV を暦年で平滑化した分の四半期変動を含む。2018〜20年は GDP 比 −1〜+2%,10億円・年率,なし,,2010Q1,2021Q4,0,0,#3
OTYDV,外生,,,外生,個人可処分所得残余項目,10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,残差,YDV − (YWV + BSSV + YIEV + YICV − TYPV − CSSV)（式90を実績で閉じる）,,,10億円・年率,なし,,2010Q1,2021Q4,0,0,
TIME,外生,,,論文にない,,,,,四半期数,暦,1980Q1 = 1 の四半期通番（式110・111の定数から逆算）,,model.make_calendar,四半期数,なし,,2010Q1,2021Q4,0,0,
TIME96Q2,外生,,,論文にない,,,,,四半期数,暦,"1996Q2 以降 1,2,3,… それ以前 0（生産関数の TFP トレンド屈折）",,model.make_calendar,四半期数,なし,,2010Q1,2021Q4,0,0,
TIME70Q1,外生,,,論文にない,,,,,四半期数,暦,1970Q1 = 1 の四半期通番,,model.make_calendar,四半期数,なし,,2010Q1,2021Q4,0,0,
D202,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,,2010Q1,2021Q4,0,0,
D203,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,,2010Q1,2021Q4,0,0,
D204,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,,2010Q1,2021Q4,0,0,
D954C963,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
D0703,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
D091C093,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
D091,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
D092,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
