variable,note
BSSV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
TYCV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
OITAXV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
CCAV,GDP−間接税+補助金+海外純所得−国民所得 を暦年平均で滑らかに補間
YCV,SNA 企業所得（法人＋公的）＋家計賃貸料＋NPISH財産所得 を季調（論文乗数表から逆算した経路と水準比0.998・相関0.96）
SDV,定義式(83)(84)を閉じる残差 GDPV−CCAV−ITAXV+SUBV+NFIV−NIV（CCAVを暦年で平滑化した分の四半期変動を含む。2018〜20年はGDP比−1〜+2%）
RTCI,消費税率（標準税率）
PRTCP,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTIF,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTIH,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTGP,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTIG,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTCG,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTFU,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTNF,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTMG,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTNP,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PRTNG,論文 乗数表(6)消費税+1%pt の2018Q1デフレータ反応から逆算した転嫁率
PINPAT,PINP /(1+RTCI·PRTNP)
CGPI,日銀 国内企業物価（含む／除く消費税）四半期平均 2015=1
CGPIAT,日銀 国内企業物価（含む／除く消費税）四半期平均 2015=1
PINP,"在庫デフレーターの代理（PINP=企業物価, PING=公的固定資本形成デフレーター）"
PING,"在庫デフレーターの代理（PINP=企業物価, PING=公的固定資本形成デフレーター）"
FUELV,"普通貿易統計 鉱物性燃料 輸入額（全国合計, 四半期計×4, 季調）"
PGDPAT,式26の名目GDP(消費税除く)÷実質GDP
PFUEL,日銀 輸入物価（円ベース）石油・石炭・天然ガス 2015=1
NFMGS,輸入計−鉱物性燃料（連鎖の非加法性は無視）
NFMGSV,輸入計−鉱物性燃料（連鎖の非加法性は無視）
PNFMGS,輸入計−鉱物性燃料（連鎖の非加法性は無視）
POILD,通関 原粗油 輸入単価（円/kL）÷円ドル÷6.2898（ドル/バレル）
LF,労働力調査 長期時系列 季節調整値 四半期平均（POP=労働力+非労働力）
LE,労働力調査 長期時系列 季節調整値 四半期平均（POP=労働力+非労働力）
LW,労働力調査 長期時系列 季節調整値 四半期平均（POP=労働力+非労働力）
UR,労働力調査 長期時系列 季節調整値 四半期平均（POP=労働力+非労働力）
POP,労働力調査 長期時系列 季節調整値 四半期平均（POP=労働力+非労働力）
POP65,労働力調査 年齢階級別（2018Q1〜）。それ以前は2018Q1の比率で延長（LF式は当期値のみ使用）
HH,代理: 15歳以上人口（住宅投資式の対数項は誤差項に吸収され乗数に影響しない）
CUX,製造工業稼働率指数 季調 2015=100 四半期平均（e-Stat）
LHX,毎月勤労統計 長期時系列表29 総実労働時間指数（5人以上・就業形態計・原指数）を季調し2015=100
M2CD,日銀 M2平残×1.0050（M2+CD との重複期間平均比）÷10（億円→10億円）
RCD,日銀 譲渡性預金平均金利（新規発行分）総合 四半期平均（下限0.001）
RGB,10年国債利回り 四半期平均（マイナス期間は式の下限0.001で置換）
KFPV,SNA 固定資本ストック/在庫の暦年末残高を、モデルの蓄積式で四半期化
KHPV,SNA 固定資本ストック/在庫の暦年末残高を、モデルの蓄積式で四半期化
KGV,SNA 固定資本ストック/在庫の暦年末残高を、モデルの蓄積式で四半期化
KNPV,SNA 固定資本ストック/在庫の暦年末残高を、モデルの蓄積式で四半期化
RRFPV,暦年末残高に一致させる年内一定の除却率（逆算）
RRHPV,暦年末残高に一致させる年内一定の除却率（逆算）
RRKGV,暦年末残高に一致させる年内一定の除却率（逆算）
RRNPV,暦年末残高に一致させる年内一定の除却率（逆算）
RRFP,暦年末残高に一致させる年内一定の除却率（逆算）
IGVR,GFS 一般政府 固定資産の純取得(年度)÷公的固定資本形成(年度)
TT,"法人実効税率（財務省公表, 年度）"
SR,厚生年金保険料率（毎年9月改定→第4四半期から）
IR,所得代替率: 1（社会保障給付式の対数定数に吸収）
SBGV,"資金循環 一般政府 負債（資産合計−金融資産・負債差額, ストック）÷10。論文乗数表の比率変化から総債務ベースと判断"
FASSTV,SNA 対外資産・対外純資産 暦年末残高を四半期補間
SBCV,SNA 対外資産・対外純資産 暦年末残高を四半期補間
LANDV,SNA 家計（個人企業を含む）期末貸借対照表 土地の暦年末残高を四半期補間
PLAND,代理: SNA 土地残高を指数化（市街地価格指数の代わり）。PROLA＝土地全体÷家計保有
PROLA,代理: SNA 土地残高を指数化（市街地価格指数の代わり）。PROLA＝土地全体÷家計保有
SHARETV,SNA 国民資産・負債残高 負債側「うち株式」（発行残高）の暦年末を四半期補間
SHAREV,資金循環 家計 株式等（ストック）÷10（億円→10億円）
REQU,仮定値（資本コストは設備投資式でほぼ効かないため簡便に設定）
SLRATIO,仮定値（資本コストは設備投資式でほぼ効かないため簡便に設定）
TINCR,仮定値（資本コストは設備投資式でほぼ効かないため簡便に設定）
ROR,仮定値（資本コストは設備投資式でほぼ効かないため簡便に設定）
UREQ,仮定: 3.0%（JILPT 均衡失業率の概ねの水準）
ERRPFU,式54を実績で満たす残差の GDP 比（2015〜19年平均）を一定として GDP に乗じたもの
